Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
Zhao Zhiyuan,赵志远,Ethiopia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbAddis,https://twitter.com/ChinaEmbAddis,17200
Chinese Embassy in Chile,,Chile,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbajada,https://twitter.com/ChinaEmbajada,2479
Chinese Embassy in Dominican Republic,,Dominican Republic,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbajadaRD,https://twitter.com/ChinaEmbajadaRD,8233
Chinese Embassy in Algeria,中国驻阿尔及利亚大使馆,Algeria,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbAlgeria,https://twitter.com/ChinaEmbAlgeria,15600
Chinese Embassy in Angola,,Angola,Portuguese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbAngola,https://twitter.com/ChinaEmbAngola,4160
Chinese Embassy in Antigua and Barbuda,,Antigua and Barbuda,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbAntigua,https://twitter.com/ChinaEmbAntigua,1779
Chinese Embassy in Argentina,,Argentina,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbArg,https://twitter.com/ChinaEmbArg,9958
Chinese Embassy in Maldives,,Maldives,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbassy_MV,https://twitter.com/ChinaEmbassy_MV,2849
Chinese Embassy in Malawi,,Malawi,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmbassy_MW,https://twitter.com/ChinaEmbassy_MW,3752
Chinese Embassy in Albania,,Albania,Albanian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaembassyT,https://twitter.com/ChinaembassyT,3555
Chinese Embassy in Austria,,Austria,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chinaembaustria,https://twitter.com/chinaembaustria,6804
